Symbol,date,expiry,open,close,Strike_Price,Spot_Price,Risk_Free_Intrest,Time,Volatility,LTP,BS_Call,MC_Call,FD_Call,C(T+1),C_BS(T+1),C_MC(T+1),C_FD(T+1)
BANKNIFTY,13-Mar-2013,28-Mar-2013,436.65,292.3,11777.5,11700.0,0.00094,0.04109589041,0.3218359157,275.75,366.0017565,375.7988315,359.2059304,441.2,459.9117937,458.0736679,454.2107822
BANKNIFTY,13-Mar-2013,28-Mar-2013,353.5,226.75,11777.5,11800.0,0.00094,0.04109589041,0.3395252158,217.7,330.8971808,333.8962873,325.4491904,364.0,400.4523337,399.9625409,394.8808157
BANKNIFTY,13-Mar-2013,28-Mar-2013,301,186.25,11777.5,11900.0,0.00094,0.04109589041,0.3388077237,173.6,283.4219376,282.3537818,278.864994,294.1,726.263916,736.3081343,715.0991366
BANKNIFTY,13-Mar-2013,28-Mar-2013,582,542.0,11777.5,11400.0,0.00094,0.04109589041,0.3149481031,542,546.8619559,562.0799286,537.0690872,704.6,678.8810634,677.3908154,673.5291625
BANKNIFTY,13-Mar-2013,28-Mar-2013,572,413.1,11777.5,11500.0,0.00094,0.04109589041,0.3592135596,405,517.7808462,521.4316914,513.7030459,627.75,606.0261406,601.6332358,601.5141028
BANKNIFTY,13-Mar-2013,28-Mar-2013,507.9,351.6,11777.5,11600.0,0.00094,0.04109589041,0.3575321198,349.85,455.5837612,457.3625726,450.4749627,526.35,981.6881843,990.4593674,968.2977804
BANKNIFTY,13-Mar-2013,28-Mar-2013,600,560.0,11777.5,11300.0,0.00094,0.04109589041,0.3241204912,560,625.8483175,622.6636472,615.8760736,817.7,895.7446913,899.0086954,883.8258775
BANKNIFTY,14-Mar-2013,28-Mar-2013,55.1,99.55,12020.75,12300.0,0.00094,0.03835616438,0.2680316899,99.5,151.2247455,151.2371092,144.2594554,51.25,45.39984109,45.48409732,42.16861957
BANKNIFTY,14-Mar-2013,28-Mar-2013,112.15,186.15,12020.75,12100.0,0.00094,0.03835616438,0.2807215558,184.5,243.1749652,247.6546902,235.031447,97.75,128.9143838,131.360073,124.3876022
BANKNIFTY,14-Mar-2013,28-Mar-2013,76.45,137.6,12020.75,12200.0,0.00094,0.03835616438,0.2971356818,138,215.1096021,215.8036567,208.6345533,71.9,277.5377458,280.7295036,273.8500852
BANKNIFTY,14-Mar-2013,28-Mar-2013,190.8,294.1,12020.75,11900.0,0.00094,0.03835616438,0.3388077237,295,400.4523337,399.9625409,394.8808157,180.15,218.9808114,220.5364403,214.4533931
BANKNIFTY,14-Mar-2013,28-Mar-2013,144,238.9,12020.75,12000.0,0.00094,0.03835616438,0.3214905839,236,330.4136755,340.8310079,323.5466151,136.35,365.2529154,375.7902434,358.5810216
BANKNIFTY,14-Mar-2013,28-Mar-2013,300,441.2,12020.75,11700.0,0.00094,0.03835616438,0.3218359157,449.7,508.8810368,511.0827844,500.054246,290.8,326.7437238,326.6076709,321.7179584
BANKNIFTY,14-Mar-2013,28-Mar-2013,201.5,364.0,12020.75,11800.0,0.00094,0.03835616438,0.3395252158,364,459.9117937,458.0736679,454.2107822,229.1,454.6418633,472.5656465,451.1536324
BANKNIFTY,14-Mar-2013,28-Mar-2013,397.15,526.35,12020.75,11600.0,0.00094,0.03835616438,0.3575321198,521.6,606.0261406,601.6332358,601.5141028,369.7,519.3184448,518.1521709,514.3240243
BANKNIFTY,14-Mar-2013,28-Mar-2013,433.7,627.75,12020.75,11500.0,0.00094,0.03835616438,0.3592135596,608.25,678.8810634,677.3908154,673.5291625,421.75,555.2075861,557.2979475,545.2886779
BANKNIFTY,18-Mar-2013,28-Mar-2013,75,100.65,11735.5,12000.0,0.00094,0.02739726027,0.3214905839,97.05,150.0631736,148.5725781,146.683321,30.75,106.0561806,105.8758841,104.2430186
BANKNIFTY,18-Mar-2013,28-Mar-2013,102.6,136.65,11735.5,11900.0,0.00094,0.02739726027,0.3388077237,132,200.3802944,204.8737846,197.7010007,44.1,135.9343735,140.9786582,134.2874213
BANKNIFTY,18-Mar-2013,28-Mar-2013,150,181.45,11735.5,11800.0,0.00094,0.02739726027,0.3395252158,177,244.3817996,242.3695301,241.6962672,68.2,158.7129778,161.1076229,156.1448564
BANKNIFTY,18-Mar-2013,28-Mar-2013,205,242.3,11735.5,11700.0,0.00094,0.02739726027,0.3218359157,230.5,280.1988549,282.986696,275.7976737,96.65,225.205932,225.6329016,223.619052
BANKNIFTY,18-Mar-2013,28-Mar-2013,170.75,294.45,11735.5,11600.0,0.00094,0.02739726027,0.3575321198,290,362.7242761,366.2516467,359.195011,134.4,296.7103666,300.684444,291.3596787
BANKNIFTY,18-Mar-2013,28-Mar-2013,379.2,447.7,11735.5,11400.0,0.00094,0.02739726027,0.3149481031,437,461.9316593,467.947751,455.124203,234.95,273.9969905,266.3099719,271.4678697
BANKNIFTY,18-Mar-2013,28-Mar-2013,308.2,374.9,11735.5,11500.0,0.00094,0.02739726027,0.3592135596,361,424.6562916,430.5786852,421.9651212,176.9,364.1773121,358.1970722,359.3501728
BANKNIFTY,18-Mar-2013,28-Mar-2013,530,530.0,11735.5,11300.0,0.00094,0.02739726027,0.3241204912,530,541.3890067,546.7025267,535.0924552,299.7,427.3847545,432.0624394,421.6748291
BANKNIFTY,18-Mar-2013,28-Mar-2013,555.15,616.05,11735.5,11200.0,0.00094,0.02739726027,0.316966537,600,616.4928387,627.6529957,609.0132658,380.0,497.3343516,502.1199054,490.505541
