Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,12-Mar-2013,30-May-2013,CE,11400.00,-,-,-,737.05,-,1057.15,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,11600.00,-,-,-,629.20,-,915.60,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,10900.00,-,-,-,1055.45,-,1453.35,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,10800.00,-,-,-,1127.00,-,1538.80,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,10400.00,-,-,-,1435.50,-,1895.90,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,10500.00,-,-,-,1355.05,-,1804.60,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,10700.00,-,-,-,1200.50,-,1625.90,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,10600.00,-,-,-,1276.65,-,1714.55,-,-,-,-,-,12054.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,14500.00,-,-,-,35.00,-,-,-,-,-,-,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,14100.00,-,-,-,70.65,-,0.05,-,-,-,-,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,14200.00,-,-,-,74.00,-,0.05,-,-,-,-,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,14300.00,-,-,-,62.75,-,0.05,-,-,-,-,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,14400.00,-,-,-,69.10,-,0.05,-,-,-,-,-,11777.50
BANKNIFTY,13-Mar-2013,28-Mar-2013,CE,14000.00,-,-,-,82.70,-,0.10,-,-,-,-,-,11777.50
